6.433183 1.608784 0.815569 0.413281 
6.437990 1.608813 0.822878 0.413292 
6.423342 1.614294 0.817091 0.413097 
6.439098 1.612790 0.824577 0.416223 
6.432399 1.610025 0.824256 0.414131 
6.436492 1.615261 0.815869 0.411658 
6.437658 1.608385 0.814721 0.428073 
6.431941 1.608185 0.826046 0.409816 
6.434843 1.613869 0.817455 0.414271 
6.432651 1.607938 0.816466 0.412639 
6.431649 1.608769 0.825699 0.414315 
6.438912 1.615014 0.826693 0.410953 
6.441087 1.611686 0.817627 0.414372 
6.436910 1.607821 0.816427 0.416125 
6.389911 1.604660 0.810455 0.407896 
6.390790 1.602198 0.809224 0.415087 
6.391629 1.607833 0.818460 0.417331 
6.388221 1.608819 0.809905 0.413935 
6.391263 1.601080 0.809211 0.414496 
6.381750 1.602509 0.810081 0.420026 
6.388125 1.607058 0.811675 0.415875 
6.395068 1.604394 0.810656 0.418860 
6.393044 1.619100 0.808912 0.416481 
6.390723 1.605087 0.812205 0.412526 
6.390235 1.605918 0.809929 0.414529 
6.388617 1.602160 0.809262 0.412020 
6.386299 1.608502 0.816535 0.405625 
6.389279 1.607108 0.810052 0.407558 
6.383073 1.611614 0.809861 0.411574 
6.391212 1.605689 0.816576 0.407678 
